Name,Created,Tags
The Stanford community is deeply curious and driven to learn in and out of the classroom. Reflect on an idea or experience that makes you genuinely excited about learning.,"October 13, 2021 2:12 PM",
Virtually all of Stanford's undergraduates live on campus. Write a note to your future roommate that reveals something about you or that will help your roommate—and us—get to know you better.,"October 13, 2021 2:12 PM",
Tell us about something that is meaningful to you and why.,"October 13, 2021 2:12 PM",
Arts Portfolio (Optional),"October 13, 2021 2:16 PM",
