B. Design,Result
Website compatible across browsers,PassFailN/A
Website compatible across devices,PassFailN/A
CSS/HTML is properly validated,PassFailN/A
Scripts are optimized across web pages,PassFailN/A
Images are optimized across web pages,PassFailN/A
CSS is optimized across web pages,PassFailN/A
Favicon is in place and rendering properly,PassFailN/A
Paragraph styles are working properly,PassFailN/A
