Name,Created,Thumbnail
Intro + ENTP-A,"October 14, 2021 10:54 PM",Yonie Paper Edit
Visual-Spatial,"October 14, 2021 11:04 PM",SSdC
Linguistic-Verbal Intelligence,"October 14, 2021 11:18 PM",Pinning blame
Logical-Mathematical,"October 14, 2021 11:35 PM",Plutus
Bodily-Kinesthetic & Musical Intelligence,"October 14, 2021 11:50 PM",Wellness video screenshot + Airbase soccer
Interpersonal Intelligence,"October 15, 2021 12:03 AM",1g1c
Intrapersonal Intelligence,"October 15, 2021 12:13 AM",The butterfly effect
Naturalistic Intelligence,"October 15, 2021 12:19 AM",dumpwaadste
